,0,1,2,3,4,5,6,7
1,0.39794155,145.3813276,0.49755037,121.3284096,0.487352965,123.7908157,0.535397524,112.1893144
2,0.483308772,126.8348499,0.532530083,114.7522419,0.535958424,113.9106694,0.535958424,113.9106694
3,0.438053663,138.8996546,0.474007098,130.012828,0.525828589,117.2037985,0.537524299,114.3128995
4,0.484212261,124.6278428,0.522458725,115.3864944,0.535317242,112.2795393,0.535317242,112.2795393
5,0.470852801,127.1999862,0.510621024,117.6402314,0.518668557,115.705711,0.554699941,107.044243
6,0.524901756,117.5843892,0.551195863,111.0767321,0.542784338,113.1585415,0.556076199,109.8688738
,,,,,,,,
,0.466545134,130.0880084,0.514727194,118.3661562,0.524318352,116.0081792,0.542495605,111.6009232
,0.039865219,9.279083421,0.024754506,6.055594394,0.018248746,3.840858439,0.009153675,2.491980355
